n,legacy,median,random,worst legacy,worst median,worst random
1,69,69,67,66,68,67
2,129,125,122,110,110,113
4,271,257,251,218,210,206
8,701,722,745,483,503,619
16,1712,1789,1784,1198,1170,1464
32,4050,4264,4216,3518,2638,3315
64,6799,6744,7057,7542,4196,4961
128,8539,8628,8820,15611,4874,6024
256,18415,18433,19199,54640,10173,12501
512,40425,42088,42484,209513,21627,26652
